Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Sat_Rate,Avg_Angle,Loss_Critic,Loss_Actor,Entropy
1810,130.8171,110.2008,0.0000,16,0.2025,1.0000,1.0000,-0.2019,0.000000,0.000000,0.000000
1820,131.8507,110.9020,0.0000,21,0.2211,1.0000,1.0000,0.3201,0.000000,0.000000,0.000000
1830,129.9730,110.8438,0.0000,11,0.0791,1.0000,1.0000,-0.0771,0.000000,0.000000,0.000000
1840,132.6980,111.1007,0.0000,21,0.2917,1.0000,0.9941,-0.0317,0.000000,0.000000,0.000000
1850,134.7077,111.9093,0.0000,16,0.1455,1.0000,1.0000,0.2424,0.000000,0.000000,0.000000
1860,139.5023,112.9571,0.0000,18,0.2022,1.0000,1.0000,-0.1644,0.000000,0.000000,0.000000
1870,140.0622,114.4467,0.0000,11,0.1250,1.0000,1.0000,0.2365,0.000000,0.000000,0.000000
1880,139.3100,114.7842,0.0000,19,0.1845,1.0000,0.9950,-0.0630,0.000000,0.000000,0.000000
1890,134.3455,112.9902,0.0000,11,0.0833,1.0000,0.9947,0.4175,0.000000,0.000000,0.000000
1900,128.6125,111.1395,0.0000,15,0.1250,1.0000,1.0000,0.1576,0.000000,0.000000,0.000000
1910,124.1907,107.8540,0.0000,14,0.1217,1.0000,0.9957,0.0911,0.000000,0.000000,0.000000
1920,126.6717,105.1731,0.0000,18,0.2045,1.0000,0.9842,-0.0285,149.550895,-0.002383,0.080985
1930,129.7551,102.6032,0.0000,17,0.1298,1.0000,0.9952,-0.2086,0.000000,0.000000,0.000000
1940,130.9552,103.2163,0.0000,11,0.0827,1.0000,1.0000,-0.1332,129.415982,-0.001720,0.083208
1950,134.1132,104.6861,0.0000,13,0.1444,1.0000,1.0000,-0.0900,97.040485,-0.001739,0.090735
1960,131.2203,105.6073,0.0000,12,0.1429,1.0000,1.0000,-0.0202,0.000000,0.000000,0.000000
1970,126.5394,103.9159,0.0000,9,0.0909,1.0000,1.0000,-0.3942,0.000000,0.000000,0.000000
1980,123.5189,105.1171,0.0000,13,0.0970,1.0000,1.0000,0.0308,0.000000,0.000000,0.000000
1990,123.1144,103.7560,0.0000,14,0.1553,0.8750,1.0000,-0.0163,0.000000,0.000000,0.000000
2000,125.6576,101.8072,0.0000,15,0.1531,1.0000,1.0000,-0.0170,0.000000,0.000000,0.000000
